Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
9282,11:14,Greg Marcks,Henry Thomas, Blake Heron, Barbara Hershey,Crime Drama Thriller Mystery,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,7.1,49492,2003
13654,101 Dalmatians II: Patch's London Adventure,Jim Kammerud,Barry Bostwick, Jason Alexander, Martin Short,Family Adventure Comedy Animation,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.",5.7,10408,2003
584,2 Fast 2 Furious,John Singleton,Paul Walker, Tyrese Gibson, Eva Mendes,Action Crime Thriller,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",5.9,291904,2003
470,21 Grams,Alejandro González Iñárritu,Sean Penn, Naomi Watts, Benicio del Toro,Drama Crime Thriller,"Paul Rivers, an ailing mathematician lovelessly married to an English ÃÂ©migrÃÂ©; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",7.6,243439,2003
14842,44 Minutes: The North Hollywood Shoot-Out,Yves Simoneau,Michael Madsen, Ron Livingston,Ray Baker,Action TV Movie,"After a failed bank robbery, two heavily armed men hold the Los Angeles Police Department at bay for 44 minutes.",6.3,5426,2003
499117,Abby Singer,Ryan Williams,Clint J. Palmer, Ryan Williams, Wendy Buss,Drama Comedy,"Chronicles the life of Curtis Clemins, who is torn between the love of his life and accomplishing his dream. When hitting rock bottom during the Sundance Film Festival, Clemins' calls upon his old college chum, Kevin Prouse, giving the now drunken acting instructor in the throes of a divorce, the only clue that will salvage Clemins' rapidly deteriorating life.",4.7,200,2003
104856,Afro-Punk,James Spooner,Ralph Darden,Matt Davis,Maya Glick,Documentary Music,"This film, which many may assume is a historical punk documentary, actually is an honest and needed treatment of race and identity. Punk and Hardcore music is simply the microcosm in which it is told. First time Director, James Spooner, in telling this story, has opened new dialogues on these crucial subject both intra and interracially. Many times funny, sometimes sobering, a wake up call to America. An examination of the duality of racial identity that DuBois called ""double consciousness."" What could have been ""The Bad Brains Story"" is a story about kids, alienated by two cultures and two communities. Many of these punk and hardcore kids have never questioned their role in the punk scene or the black community until their interviews, and it's obvious as they struggle on camera to reconcile a fragmented self.",7.1,268,2003
10923,Agent Cody Banks,Harald Zwart,Frankie Muniz, Hilary Duff,Andrew Francis,Action Adventure Comedy Family,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.",5.1,36491,2003
37088,Aileen: Life and Death of a Serial Killer,"Nick Broomfield, Joan Churchill",Aileen Wuornos,Nick Broomfield,Terry Humphreys-Slay,Documentary,"British documentarian Nick Broomfield creates a follow-up piece to his 1992 documentary of the serial killer Aileen Wuornos, a highway prostitute who was convicted of killing six men in Florida between 1989 and 1990. Interviewing an increasingly mentally unstable Wuornos, Broomfield captures the distorted mind of a murderer whom the state of Florida deems of sound mind -- and therefore fit to execute. Throughout the film, Broomfield includes footage of his testimony at Wuornos' trial.",7.1,6894,2003
64526,Alex & Emma,Rob Reiner,Kate Hudson, Luke Wilson, Sophie Marceau,Action Adventure Crime,"Alessandro Corso is a special forces carabiniere. During an operation he saves a child but cause the death of one of his comrades. He's then transferred to a peaceful little town, where he will be unexpectedly forced to help an hot witness named Antavleva, protecting her and bringing them safely to the trial.",5.5,13805,2003
22076,Alien Hunter,Ron Krauss,James Spader,Janine Eser,John Lynch,Sci-Fi Action Adventure,Government agents find evidence of extraterrestrial life at the South Pole.,5.1,4664,2003
13132,All the Real Girls,David Gordon Green,Paul Schneider, Zooey Deschanel, Shea Whigham,Drama Romance,"In a sleepy little mill town in North Carolina, Paul is the town Romeo. But when his best friend's sister returns home from boarding school, he finds himself falling for her innocent charm. In spite of her lack of experience and the violent protests of her brother, the two find themselves in a sweet, dreamy and all-consuming love.",6.7,10982,2003
22707,Amandla!: A Revolution in Four-Part Harmony,Lee Hirsch,Walter Cronkite,Abdullah Ibrahim,F.W. de Klerk,Documentary,"The struggle to eradicate apartheid in South Africa has been chronicled over time, but no one has addressed the vital role music plays in this challenge. This documentary by Lee Hirsch recounts a fascinating and little-known part of South Africa's political history through archival footage, interviews and, of course, several mesmerizing musical performances.",7.4,618,2003
2771,American Splendor,"Robert Pulcini, Shari Springer Berman",Paul Giamatti, Hope Davis,Shari Springer Berman,Comedy Drama,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,7.4,51393,2003
8273,American Wedding,Jesse Dylan,Jason Biggs, Seann William Scott, Alyson Hannigan,Comedy Romance,"With high school a distant memory, Jim and Michelle are getting married Ã¢ÂÂ and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle Ã¢ÂÂ prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",6.3,214708,2003
9506,Anger Management,Peter Segal,Adam Sandler, Jack Nicholson, Marisa Tomei,Comedy,"After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.",6.2,224920,2003
31284,Anne B. Real,Lisa France,David Zayas, Carlos Leon,Jackie Quinones,Action Comedy Documentary Drama,"Anne B. Real is the coming of age story of a young female rapper, who finds her inspiration by reading the Diary of Anne Frank.",2.2,3846,2003
10739,Anything Else,Woody Allen,Jason Biggs, Christina Ricci, Stockard Channing,Drama Comedy Romance,"Jerry Falk, an aspiring writer in New York, falls in love at first sight with a free-spirited young woman named Amanda. He has heard the phrase that life is like ""anything else,"" but soon he finds that life with the unpredictable Amanda isn't like anything else at all.",6.3,32304,2003
28219,BAADASSSSS!,Mario Van Peebles,Mario Van Peebles, Adam West,Dennis Haggerty,Drama,"Director Mario Van Peebles chronicles the complicated production of his father Melvin's classic 1971 film, ""Sweet Sweetback's Baadasssss Song."" Playing his father in the film, Van Peebles offers an unapologetic account of Melvin's brash and sometimes deceptive conduct on the set of the film, including questionable antics like writing bad checks, tricking a local fire department and allowing his son, Mario, to shoot racy sex scenes at the age of 11.",7.3,5124,2003
8961,Bad Boys II,Michael Bay,Martin Lawrence, Will Smith,Gabrielle Union,Adventure Action Comedy Thriller Crime,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing MarcusÃ¢ÂÂ sexy sister.",6.6,263127,2003
10147,Bad Santa,Terry Zwigoff,Billy Bob Thornton, Bernie Mac, Lauren Graham,Drama Comedy Crime,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,7.1,150383,2003
