Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
44054,The Killing of John Lennon,Andrew Piddington,Jonas Ball,Krisha Fairchild,Gunter Stern,Crime Drama,"The film follows the travels and accounts of Mark Chapman (Jonas Ball) and gives the watcher an insight into his mind. It starts with him in Hawaii and how he does not fit in with anyone including his job; family; friends etc. He says he is searching for a purpose in his life and that it has no direction. He seeks refuge in the public library where he finds the book, 'The Catcher in the Rye'. He becomes obsessed with the book and believes that he himself is the protaganist in the book, Holden Caulfield. He believes the ideas in the book reflect his own personal life and how he does not fit in anywhere and he reads it constantly. He then finds another book in the library about The Beatles singer John Lennon and begins a personal hatred for him.",6.1,1525,2008
6933,One Missed Call,Eric Valette,Shannyn Sossamon,Edward Burns,Ana Claudia TalancÃÂ³n,Horror Mystery Thriller,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.",4,33784,2008
57270,A Bloody Aria,Won Shin-yun,Han Suk-kyu,Lee Moon-sik,Oh Dal-su,Thriller Action Horror Comedy,A student and her teacher go to a secluded area in the middle of nowhere to practice open-air singing. There they run into a gang of local thugs who initially seem friendly but slowly reveal their sinister side.,6.4,893,2008
18218,The Business of Being Born,Abby Epstein,Mary Helen Ayres,Julia Barnett,Sylvie Blaustein,Documentary,"Director Abby Epstein's controversial documentary takes a hard look at America's maternity care system, juxtaposing hospital deliveries against the growing popularity of at-home, natural childbirths that some expectant parents are opting for. Former talk show host Ricki Lake was inspired to produce this compelling exposÃÂ© after a dissatisfying birthing experience with her first child left her with many unanswered questions.",7.3,1429,2008
14423,First Sunday,David E. Talbert,Ice Cube,Katt Williams,Tracy Morgan,Comedy Action,"Durell and LeeJohn are best friends and bumbling petty criminals. When told they have one week to pay a $17,000 debt or Durell will lose his son, they come up with a desperate scheme to rob their neighborhood church. Instead, they end up spending the night in the presence of the Lord and are forced to deal with much more than they bargained for.",4.6,11419,2008
2312,In the Name of the King,Uwe Boll,Jason Statham,Leelee Sobieski,Ron Perlman,Adventure Fantasy Action Drama,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.",3.8,50748,2008
15511,The Pirates Who Don't Do Anything,Mike Nawrocki,Phil Vischer,Mike Nawrocki,Cam Clarke,Adventure Animation Comedy Sci-Fi Family,"A boatload of beloved VeggieTales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in The Pirates Who Don't Do Anything - A VeggieTales Movie! Larry the Cucumber, Mr. Lunt and Pa Grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas.",5.6,3049,2008
6557,27 Dresses,Anne Fletcher,Katherine Heigl,James Marsden,Malin ÃÂkerman,Comedy Romance,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,6.1,172169,2008
4787,Cassandra's Dream,Woody Allen,Hayley Atwell,Colin Farrell,Sally Hawkins,Crime Drama Thriller,"The tale of two brothers with serious financial woes. When a third party proposes they turn to crime, things go bad and the two become enemies.",6.6,53506,2008
7191,Cloverfield,Matt Reeves,Michael Stahl-David,Mike Vogel,Odette Yustman,Action Thriller Sci-Fi,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",7,415337,2008
12085,Mad Money,Callie Khouri,Diane Keaton,Queen Latifah,Katie Holmes,Action Comedy Crime,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,5.9,22489,2008
13121,Teeth,Mitchell Lichtenstein,Jess Weixler,John Hensley,Josh Pais,Comedy Horror,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",5.9,60,2008
16988,How She Move,Ian Iqbal Rashid,Rutina Wesley,Dwain Murphy,Clan Bennett,Drama,"After the death of Raya Green's sister, she gets out from her classes at school, and sees a stomp crew practicing. She meets Bishop which is the dance crew leader. She then meets Michelle and does a stomp battle with her. They become enemies then friends later on. Her uptight mom pushes her to pass the test to get into Medical school, but she thinks she failed....",3.6,6761,2008
7278,Meet the Spartans,Jason Friedberg,Sean Maguire,Kevin Sorbo,Carmen Electra,Comedy,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",2.8,110866,2008
22371,Minutemen,Lev L. Spiro,Jason Dolley,Luke Benward,Nicholas Braun,Family TV Movie Comedy Sci-Fi Adventure,"When three high-school friends invent a time-machine, they decide to use it to go back in time and prevent other youngsters from making humiliating mistakes.",5.8,6477,2008
7555,Rambo,Sylvester Stallone,Sylvester Stallone,Julie Benz,Paul Schulze,Action Thriller War,"In Thailand, ex-Green Beret John James Rambo joins a group of mercenaries to venture into war-torn neighboring Myanmar to rescue a group of Christian aid workers who have been kidnapped by a ruthless local infantry unit.",7,241776,2008
8090,Untraceable,Gregory Hoblit,Diane Lane,Colin Hanks,Billy Burke,Thriller,"Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",6.2,52301,2008
9030,The Eye,David Moreau,Jessica Alba,Parker Posey,Alessandro Nivola,Drama Horror Thriller,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",5.4,55637,2008
253353,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,Miley Cyrus,Candice Accola,Jonas Brothers,Documentary Music,"In this concert film, 'Hannah Montana' star Miley Cyrus performs a slew of hit songs, including 'Just Like You' and 'Life's What You Make It.'",2.6,12130,2008
13160,Over Her Dead Body,Jeff Lowell,Eva Longoria Parker,Paul Rudd,Lake Bell,Comedy,"After his fiancÃÂ©e, Kate, dies in an accident on their wedding day, veterinarian Henry grows depressed. To help him move on, his sister has him visit psychic Ashley and gives her Kate's diary. Ashley uses the journal's details to convincingly deliver the fake message that Kate wants Henry to move on. However, Kate's ghost is watching over Ashley and Henry. Furious when they fall for each other, she vows to sabotage their relationship.",5.2,25251,2008
14220,Strange Wilderness,Fred Wolf,Steve Zahn,Allen Covert,Jonah Hill,Comedy,"With the ratings dropping for a wilderness-themed TV show, two animal fans go to the Andes in search of Bigfoot.",5.2,22546,2008
13534,How to Rob a Bank,Andrews Jenkins,Nick Stahl,Erika Christensen,Gavin Rossdale,Action Comedy Crime,"Caught in the middle of a bank robbery, a slacker and a bank employee become the ones who arbitrate the intense situation.",6,6169,2008
8676,Fool's Gold,Andy Tennant,Kate Hudson,Matthew McConaughey,Donald Sutherland,Adventure Romance Comedy,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch, hired by rapper-turned-gangster Bigg Bunny, will stop at nothing to beat him to it.",5.7,83278,2008
8321,In Bruges,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ralph Fiennes,Comedy Drama Crime,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",7.9,452829,2008
13490,Welcome Home Roscoe Jenkins,Malcolm D. Lee,Martin Lawrence,Margaret Avery,Joy Bryant,Comedy Drama Family,"When a celebrated TV show host returns to his hometown in the South, his family is there to remind him that going home is no vacation!",5.5,15501,2008
38163,Bernard and Doris,Bob Balaban,Susan Sarandon,Ralph Fiennes,Peter Asher,Comedy Drama TV Movie,"Tobacco heiress Doris Duke develops an unlikely friendship with her butler, Bernard Lafferty.",6.5,4383,2008
20529,Sita Sings the Blues,Nina Paley,Sanjiv Jhaveri,Nina Paley,Deepti Gupta,Animation Drama Music Romance Fantasy,"Utilizing the 1920s jazz vocals of Annette Hanshaw, the epic Indian tale of exiled prince Ramayana and his bride Sita is mirrored by a spurned woman's contemporary personal life, and light-hearted but knowledgeable discussion of historical background by a trio of Indian shadow puppets.",7.6,4890,2008
8390,"Definitely, Maybe",Adam Brooks,Ryan Reynolds,Isla Fisher,Derek Luke,Comedy Romance,"When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future.",7.1,171513,2008
8247,Jumper,Doug Liman,Hayden Christensen,Samuel L. Jackson,Rachel Bilson,Action Adventure Sci-Fi,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, DavidÃ¢ÂÂs extraordinary gift may be his only hope for survival!",6.1,319324,2008
8204,The Spiderwick Chronicles,Mark Waters,Freddie Highmore,Sarah Bolger,Mary-Louise Parker,Family Adventure Fantasy,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",6.5,101110,2008
8328,Step Up 2: The Streets,Jon M. Chu,Briana Evigan,Robert Hoffman,Adam Sevani,Music Drama Romance,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",6.2,90160,2008
13025,Diary of the Dead,George A. Romero,Michelle Morgan,Josh Close,Shawn Roberts,Horror,A group of young film students run into real-life zombies while filming a horror movie of their own.,5.5,48858,2008
4953,Be Kind Rewind,Michel Gondry,Jack Black,Mos Def,Danny Glover,Drama Comedy,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.",6.4,93417,2008
8669,Charlie Bartlett,Jon Poll,Anton Yelchin,Hope Davis,Kat Dennings,Comedy Drama,"Awkward teenager Charlie Bartlett has trouble fitting in at a new high school. Charlie needs some friends fast, and decides that the best way to find them is to appoint himself the resident psychiatrist. He becomes one of the most popular guys in school by doling out advice and, occasionally, medication, to the student body.",7,5,2008
14424,Sex and Death 101,Daniel Waters,Simon Baker,Winona Ryder,Leslie Bibb,Comedy Romance Drama,"A guy's life is turned around by an email, which includes the names of everyone he's had sex with and ever will have sex with. His situation gets worse when he encounters a femme fatale (Ryder) who targets men guilty of sex crime.",5.9,11524,2008
7461,Vantage Point,Pete Travis,Dennis Quaid,Matthew Fox,Forest Whitaker,Drama Action Thriller Crime,The attempted assassination of the American president is told and re-told from several different perspectives.,6.6,153149,2008
15365,Witless Protection,Charles Robert Carner,Larry the Cable Guy,Jenny McCarthy,Ivana MiliÃÂeviÃÂ,Action Adventure Comedy Crime,The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her,3.4,6493,2008
16700,Bonneville,Jessica Lange,Jessica Lange,Kathy Bates,Joan Allen,Comedy Drama,"Three women take a road trip to Santa Barbara in order to deliver the ashes of one of their dead husbands to his resentful daughter. Faced with the decision of a lifetime, Arvilla Holden hijacks her two best friends and sets off in a vintage '66 Bonneville convertible.",8.4,19,2008
28816,Chicago 10,Brett Morgen,Hank Azaria,Dylan Baker,Nick Nolte,Documentary Animation History War,"Archival footage, animation and music are used to look back at the eight anti-war protesters who were put on trial following the 1968 Democratic National Convention.",7.4,1406,2008
7343,City of Men,Douglas Silva,Douglas Silva,Darlan Cunha,Jonathan Haagensen,Drama,"Best buddies Acerola and Laranjinha, about to turn 18, discover things about their missing fathers' pasts which will shatter their solid friendship, in the middle of a war between rival drug gangs from Rio's favelas.",7.2,16165,2008
12184,The Other Boleyn Girl,Justin Chadwick,Natalie Portman,Scarlett Johansson,Eric Bana,Drama Romance History,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.",6.7,118435,2008
7985,Penelope,Mark Palansky,Christina Ricci,James McAvoy,Catherine O'Hara,Fantasy Comedy Romance,"Forlorn heiress Penelope Wilhern is cursed, and the only way out is to fall in love with someone of suitable stock. But how can she find her soul mate when she's sequestered inside her family's estate with only her parents to keep her company. This untraditional fairy tale about a girl who bucks convention to create her own happy ending.",6.7,65661,2008
13260,Semi-Pro,Kent Alterman,Will Ferrell,Woody Harrelson,Andre Benjamin,Comedy,"Jackie Moon is the owner, promoter, coach, and star player of the Flint Michigan Tropics of the American Basketball Association (ABA), the worst team in the league. In 1976 before the ABA collapses, the NBA plans to merge with the best teams of the ABA at the end of the season. Only the top four teams will make the move and the worst teams will fold. If the Tropics want to make it to the NBA, Jackie Moon must rally his team and start winning.",5.8,85050,2008
7840,"10,000 BC",Roland Emmerich,Steven Strait,Camilla Belle,Cliff Curtis,Adventure Action Drama Fantasy,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,5.1,134549,2008
8848,The Bank Job,Roger Donaldson,Jason Statham,Saffron Burrows,Richard Lintern,Thriller Crime Drama,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.",7.2,187213,2008
13493,College Road Trip,Roger Kumble,Martin Lawrence,Raven-Symoné,Donny Osmond,Comedy Family Action Adventure,"When an overachieving high school student decides to travel around the country to choose the perfect college, her overprotective cop father also decides to accompany her in order to keep her on the straight and narrow.",4.3,16553,2008
8060,Married Life,Ira Sachs,Pierce Brosnan,Chris Cooper,Patricia Clarkson,Crime Drama Romance,"A very gentle middle-aged man is married, but when he falls in love with another woman, he decides that to divorce his wife would humiliate her too much Ã¢ÂÂ so instead he decides to kill her.",6.2,9685,2008
12178,Miss Pettigrew Lives for a Day,Bharat Nalluri,Frances McDormand,Amy Adams,Ciaran Hinds,Drama Comedy Romance,"London, England, on the eve of World War II. Guinevere Pettigrew, a strict governess who is unable to keep a job, is fired again. Lost in the hostile city, a series of fortunate circumstances lead her to meet Delysia LaFosse, a glamorous and dazzling American jazz singer whose life is a chaos ruled by indecision, a continuous battle between love and fame.",7,29469,2008
1990,Paranoid Park,Gus Van Sant,Gabe Nevins,Taylor Momsen,Jake Miller,Mystery Crime Drama,"A teenage skateboarder becomes suspected of being connected with a security guard who suffered a brutal death in a skate park called ""Paranoid Park"".",6.6,31645,2008
14054,Snow Angels,David Gordon Green,Kate Beckinsale,Sam Rockwell,Michael Angarano,Drama Romance,"Waitress Annie has separated from her suicidal alcoholic husband, Glenn. Glenn has become an evangelical Christian, but his erratic attempts at getting back into Annie's life have alarmed her. High school student Arthur works at Annie's restaurant, growing closer to a new kid in town, Lila, after class. When Glenn and Annie's daughter go missing, the whole town searches for her, as he increasingly spirals out of control.",6.9,1671,2008
13460,Doomsday,Neil Marshall,Rhona Mitra,Bob Hoskins,Malcolm McDowell,Action Thriller Sci-Fi,"The lethal Reaper virus spreads throughout BritainÃ¢ÂÂinfecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.",5.9,79151,2008
54245,Horton Hears a Who!,Jimmy Hayward,Jim Carrey,Steve Carell,Carol Burnett,Animation Family,"Animator Chuck Jones collaborated with Theodor Geisel (aka Dr. Seuss) to bring his classic children's book to life. Embittered, green-haired hermit the Grinch (voiced by Boris Karloff) lives in the mountains above the village of Whoville. The Whos love Christmas, and the Grinch hates the Whos, so he conspires to keep Christmas from coming. How the Grinch Stole Christmas is enjoyable on every level. This all-time classic now has Horton Hears a Who! on the same video for a great double bill.",6.8,148421,2008
8461,Funny Games,Michael Haneke,Naomi Watts,Tim Roth,Michael Pitt,Drama Thriller Horror,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",6.5,81958,2008
8456,Never Back Down,Jeff Wadlow,Sean Faris,Amber Heard,Cam Gigandet,Drama Action,"Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a prime opponent. After being trounced by Ryan in front of the entire school, Jake begins training under the firm, moral guidance of a MMA master, where he learns how to fight... and how to avoid a fight. But it becomes obvious that a rematch will be inevitable if Jake wants to stop Ryan and his bullying, once and for all.",6.5,105309,2008
14349,Sleepwalking,William Maher,AnnaSophia Robb,Nick Stahl,Charlize Theron,Drama,"When her boyfriend is arrested for marijuana possession, Joleen Reedy and her 11-year-old daughter, Tara, take refuge with Joleen's aimless brother, James. Joleen soon runs off with a truck driver, and James is unable to meet his responsibilities. After Child Protective Services takes possession of Tara, James abducts her from a foster home, and the two travel from California to Utah, where his abusive father lives.",6.1,6004,2008
8457,Drillbit Taylor,Steven Brill,Owen Wilson,Nate Hartley,Troy Gentile,Comedy,"Three kids hire a low-budget bodyguard to protect them from the playground bully, not realising he is just a homeless beggar and petty thief looking for some easy cash.",5.7,61934,2008
15378,The Grand,Zak Penn,Woody Harrelson,David Cross,Dennis Farina,Comedy,"The Grand is in the tradition of improvisational comedies like Best In Show and This Is Spinal Tap. The story is set in the world of professional poker and follows six players who reach the final table of the worldÃ¢ÂÂs second most famous high stakes tournament, the Grand Championship of Poker.",3.6,1617,2008
16710,Meet the Browns,Tyler Perry,Angela Bassett,Jenifer Lewis,David Mann,Comedy Drama Romance,"A single mother living in inner city Chicago, Brenda has been struggling for years to make ends meet and keep her three kids off the street. When she's laid off with no warning, she starts losing hope for the first time - until a letter arrives announcing the death of a father she's never met. Desperate for any kind of help, Brenda takes her family to Georgia for the funeral, but nothing could have prepared her for the Browns, her father's fun-loving, crass Southern clan. In a small-town world full of long afternoons and country fairs, Brenda struggles to get to know the family she never knew existed...and finds a brand new romance that just might change her life.",4.5,7203,2008
