Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
522016,The 355,Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Pen�lope Cruz,Action Thriller,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",5.6,35786,2022
116322,The Legend of La Llorona,Patricia Harris Seeley,Linda Cardellini,Raymond Cruz,Patricia Velasquez,Family Animation Fantasy Horror Comedy Action,"Based on a famous Mexican legend, a group of kids must stop the ghost of a woman whose guilt over the drowning of her own children leads her to abduct youngsters who wander the woods at night.",3.2,844,2022
753232,The Commando,Asif Akbar,Arnold Schwaezenegger,Rae Dawn Chong,Dan Hedaya,Action Crime Thriller,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house Ã¢ÂÂ a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agentÃ¢ÂÂs daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",3.3,1563,2022
766907,American Siege,Edward Drake,Timothy V. Murphy,Bruce Willis,Rob Gough,Action Adventure Thriller,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,3.4,2280,2022
646385,Scream,Tyler Gillett,Melissa Barrera,Mason Gooding,Jenna Ortega,Horror Mystery Thriller,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the townÃ¢ÂÂs deadly past.",6.3,152532,2022
585083,Hotel Transylvania: Transformania,Derek Drymon,Andy Samberg,Selena Gomez,Kathryn Hahn,Animation Comedy Family Adventure Fantasy,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",6,37329,2022
844398,Shattered,Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,"Chris, a wealthy divorcee, lives in a high-tech house of his own design in Montana. His life changes when he meets Sky, a mysterious young woman who draws him out of his shell and moves in after Chris is injured.",5,4958,2022
790142,The Royal Treatment,Rick Jacobson,Laura Marano,Mena Massoud,Odette Annable,Romance Comedy,"Isabella runs her own salon and isnÃ¢ÂÂt afraid to speak her mind, while Prince Thomas runs his own country and is about to marry for duty rather than love. When Izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding, she and Prince Thomas learn that taking control of their own destiny requires following their hearts.",5.2,11007,2022
698508,Redeeming Love,D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Romance Drama Western,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,6.7,10983,2022
245842,The King's Daughter,Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Fantasy Adventure Family,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",5.2,5659,2022
793269,The Tiger Rising,Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,Adventure Family,"When 12-year-old Rob Horton discovers a caged tiger in the woods near his home, his imagination runs wild and life begins to change in the most unexpected ways. With the help of a wise and mysterious maid, Willie May  and the stubborn new girl in school, he must navigate through childhood memories, heartache, and wondrous adventures.",4.7,944,2022
