Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
329440,The Forest,Jason Zada,Natalie Dormer,Taylor Kinney,Yukiyoshi Ozawa,Horror Thriller Mystery,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",4.8,45245,2016
277710,Anesthesia,Tim Blake Nelson,Glenn Close,K. Todd Freeman,Jessica Hecht,Drama Thriller,Multiple lives intersect in the aftermath of the violent mugging of a Columbia University philosophy professor.,6.1,4966,2016
324284,The Lamb,Ross Partridge,Ross Partridge,Oona Laurence,Jess Weixler,Drama,"Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.",7.4,12,2016
323675,Ride Along 2,Tim Story,Ice Cube,Kevin Hart,Ken Jeong,Action Comedy,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",5.9,62093,2016
300671,13 Hours: The Secret Soldiers of Benghazi,Michael Bay,James Badge Dale,John Krasinski,Max Martini,War Action History Drama,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,7.3,156676,2016
276905,Norm of the North,Trevor Wall,Rob Schneider,Heather Graham,Ken Jeong,Adventure Animation Comedy Family,"Polar bear Norm and his three Arctic lemming buddies are forced out into the world once their icy home begins melting and breaking apart. Landing in New York, Norm begins life anew as a performing corporate mascot, only to discover that his new employers are directly responsible for the destruction of his polar home.",3.4,10003,2016
328901,The Benefactor,Andrew Renzi,Richard Gere,Dakota Fanning,Theo James,Drama,"A newly married couple are forced to navigate the all-consuming interest of a powerful, mysterious, and possessive philanthropist.",5.2,5173,2016
291870,Dirty Grandpa,Dan Mazer,Robert De Niro,Zac Efron,Aubrey Plaza,Comedy,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",5.9,131038,2016
299687,The 5th Wave,J Blakeson,Chloe Grace Moretz,Nick Robinson,Ron Livingston,Sci-Fi Adventure Action,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,5.2,115223,2016
321258,The Boy,William Brent Bell,James Russell,Lauren Cohan,Rupert Evans,Horror Thriller Mystery,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",6,100293,2016
