Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
10550,Ballistic: Ecks vs. Sever,Wych Kaosayananda,Antonio Banderas,Lucy Liu,Gregg Henry,Action Adventure Thriller,"Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will.",3.6,20850,2002
9034,The Banger Sisters,Bob Dolman,Goldie Hawn,Susan Sarandon,Geoffrey Rush,Comedy Drama,"In the late '60s, the self-proclaimed belles of the rock 'n' roll ball, rocked the worlds of every music legend whose pants they could take off -- and they have the pictures to prove it. But it's been more than two decades since the Banger Sisters earned their nickname -- or even laid eyes on each other. Their reunion is the collision of two women's worlds; one who's living in the past, and one who's hiding from it. Together they learn to live in the moment.",5.7,17113,2002
10611,Barbershop,Tim Story,Ice Cube,Cedric,Eve,Comedy Drama,"A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out.",6.3,33067,2002
12590,Below,David Twohy,Bruce Greenwood,Olivia Williams,Matthew Davis,Thriller Horror Mystery,"In the dark silence of the sea during World War II, the submarine USS Tiger Shark prowls on what should be a routine rescue mission. But for the shell-shocked crew, trapped together in the sub's narrow corridors and constricted spaces, this is about to become a journey into the sensory delusions, mental deceptions and runaway fears that lurk just below the surface of the ocean.",6.1,23799,2002
14290,Better Luck Tomorrow,Justin Lin,Parry Shen,Jason Tobin,Sung Kang,Crime Drama,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.,7,10367,2002
11870,Big Fat Liar,Shawn Levy,Frankie Muniz,Paul Giamatti,Amanda Bynes,Family Comedy Adventure,"After one of his class papers is stolen and turned into a movie, a young student and his best friend exact a hilarious, slapstick revenge on the Hollywood hot shot who has taken credit!",5.5,38812,2002
2185,Big Trouble,Barry Sonnenfeld,Tim Allen,Rene Russo,Stanley Tucci,Action Comedy Thriller Mystery,"The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble.""",6.4,21422,2002
30586,Biggie & Tupac,Nick Broomfield,The Notorious B.I.G.,Tupac Shakur,Nick Broomfield,Music Documentary,"In 1997, rap superstars Tupac Shakur and Christopher Wallace (aka Biggie Smalls, The Notorious B.I.G.) were gunned down in separate incidents, the apparent victims of hip hop's infamous east-west rivalry. Nick Broomfield's film introduces Russell Poole, an ex-cop with damning evidence that suggests the LAPD deliberately fumbled the case to conceal connections between the police, LA gangs and Death Row Records, the label run by feared rap mogul Marion ""Suge"" Knight.",6.7,4984,2002
2084,Birthday Girl,Jez Butterworth,Nicole Kidman,Ben Chaplin,Vincent Cassel,Comedy Crime Thriller,"A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down.",6.7,27,2002
36586,Blade II,Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman,Fantasy Horror Action Thriller,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",6.7,230203,2002
9573,Blood Work,Clint Eastwood,Clint Eastwood,Jeff Daniels,Anjelica Huston,Thriller Crime,"Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",6.4,46952,2002
9266,Blue Crush,John Stockwell,Kate Bosworth,Michelle Rodriguez,Matthew Davis,Adventure Romance Drama,"Nothing gets between Anne Marie and her board. Living in a beach shack with three roommates, she is up before dawn every morning to conquer the waves and count the days until the Pipe Masters competition. Having transplanted herself to Hawaii with no one's blessing but her own, Anne Marie finds all she needs in the adrenaline-charged surf scene - until pro quarterback Matt Tollman comes along...",5.7,32619,2002
892835,Book of Love,Jeffrey W. Byrd,Eric K. George,Treach, Richard T. Jones,Comedy Romance,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",6.7,116,2002
2501,The Bourne Identity,Doug Liman,Matt Damon,Franka Potente, Chris Cooper,Action Drama Mystery Thriller,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spyÃ¢ÂÂbut who does he work for?",7.8,567850,2002
1430,Bowling for Columbine,Michael Moore,Michael Moore,Charlton Heston,Marilyn Manson,Documentary Drama,"This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",8,147724,2002
37964,Brown Sugar,Rick Famuyiwa,Taye Diggs,Sanaa Lathan, Mos Def,Comedy Romance,"Friends since childhood, a magazine editor and a hip-hop record executive stumble into romantic territory.",6.5,10053,2002
9707,Bubba Ho-tep,Don Coscarelli,Bruce Campbell,Ossie Davis, Ella Joyce,Comedy Horror Thriller Mystery Fantasy,"Bubba Ho-tep tells the ""true"" story of what really did become of Elvis Presley. We find Elvis as an elderly resident in an East Texas rest home, who switched identities with an Elvis impersonator years before his ""death,"" then missed his chance to switch back. He must team up with JFK and fight an ancient Egyptian mummy for the souls of their fellow residents.",6.9,50998,2002
206175,The Burial Society,Nicholas Racz,Rob LaBelle,Jan RubeÃÂ¡, Allan Rich,Thriller,"In The Burial Society, Sheldon Kasner, an unlikely criminal who works as a bank loan manager, infiltrates the mysterious world of the Chevrah Kadisha (the Jewish society that prepares bodies for burial according to ancient ritual) in order to steal a body and fake his own death after mobsters come after him looking for two million dollars that he is accused of having stolen. Having sought and found refuge within this ancient religious society, Sheldon finds himself captivated by this unusual and powerful world and the three old men who run it.",6,210,2002
13163,Buying the Cow,Walt Becker,Jerry O'Connell, Bridgette Wilson, Alyssa Milano,Comedy Romance,A commitment-averse man frantically hits the dating scene after his girlfriend starts pressuring him to pop the question.,5.8,7378,2002
11547,Cabin Fever,Eli Roth,Rider Strong, Jordan Ladd, James DeBello,Horror,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",5.6,82192,2002
7340,Carrie,David Carson,Angela Bettis, Patricia Clarkson, Rena Sofer,Horror Thriller,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",5.4,11246,2002
640,Catch Me If You Can,Steven Spielberg,Leonardo DiCaprio, Tom Hanks, Christopher Walken,Drama Crime,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",8.1,1059170,2002
679743,Chance,Amber Benson,Amber Benson, James Marsters, Christine Estabrook,Drama Family Mystery,A true story of a teenage love triangle leading to one of the two boys' tragic death - told through the lens of elite youth baseball.,6.8,1244,2002
1537,Changing Lanes,Roger Michell,Ben Affleck, Samuel L. Jackson, Toni Collette,Thriller,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",6.5,73736,2002
965143,Chat Room,Barry Bowles,Brian Hooks,Deya Simone,Carl Gilliard,Documentary,"Anonymous and exploitative, a network of online chat rooms ran rampant with sex crimes. The hunt to take down its operators required guts and tenacity.",5.4,9517,2002
35694,Chelsea Walls,Ethan Hawke,Kris Kristofferson, Uma Thurman,Robert Sean Leonard,Drama,"This movie tells five stories set in a single day at the famed Chelsea Hotel in New York City, involving an ensemble cast of some 30-35 characters.",4.8,2207,2002
1574,Chicago,Rob Marshall,Renée Zellweger, Catherine Zeta-Jones, Richard Gere,Comedy Crime Drama,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,7.2,239596,2002
288950,Ciao America,Frank Ciota,Eddie Malavarca, Maurizio Nichetti, Violante Placido,Comedy Drama Romance,"Having recently earned his college degree, Lorenzo Primavera (Eddie Malavarca) leaves his home in Boston to travel to his family's ancestral homeland in Italy -- as was requested by his late grandfather. Upon arriving, Lorenzo is offered a short-term position as coach for an American-style football team by the team's manager, Giulio Fellini (Maurizio Nichetti). As the young American immerses himself in his new duties, he makes the acquaintance of Paola Angelini (Violante Placido) and the two begin a friendship that quickly blossoms into something more. In between spending time with Paola and working with the team, Lorenzo also begins investigating his own family's history and learns the reason for his grandfather's departure from Italy, as well as why his grandfather never returned to visit. As Lorenzo begins to forge an identity for himself in Italy -- not to mention strong romantic attachments to Paola -- he must eventually decide whether or not to return to the States.",8,90,2002
13536,City by the Sea,Michael Caton-Jones,Robert De Niro, James Franco, Eliza Dushku,Crime Drama Mystery,"Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past, but then makes the terrible discovery that his own son has fallen into a life of crime.",6.1,26202,2002
428501,City of Ghosts,Matt Dillon,Matt Dillon,James Caan, Natascha McElhone,War Documentary,"With unprecedented access, this documentary follows the extraordinary journey of Ã¢ÂÂRaqqa is Being Slaughtered SilentlyÃ¢ÂÂÃ¢ÂÂa group of anonymous citizen journalists who banded together after their homeland was overtaken by ISISÃ¢ÂÂas they risk their lives to stand up against one of the greatest evils in the world today.",5.9,5708,2002
30246,Civil Brand,Neema Barnette,LisaRaye McCoy,Lark Voorhies, Mos Def,Crime Drama Thriller,"Forced to work under slave-like conditions in a ""prison for profit"" program, the inmates of a mostly-African-American female prison, Whitehead Correctional, try to take over the institution. At the core of the story is Frances, who finds herself in prison after being falsely convicted of murder, and who is told that her baby has been murdered, sparking her to lead her fellow inmates in the protest",5.1,787,2002
15028,Clockstoppers,Jonathan Frakes,Jesse Bradford,Paula Garcés, French Stewart,Adventure Family Sci-Fi Thriller,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun.",5.2,14943,2002
178494,The Cockettes,Bill Weber,Larry Brinkin,Peggy Cass,The Cockettes,Documentary,Documentary about the gender-bending San Francisco performance group who became a pop culture phenomenon in the early 1970s.,7.4,613,2002
9884,Collateral Damage,Andrew Davis,Arnold Schwarzenegger, Elias Koteas, Francesca Neri,Action Thriller Drama,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,5.5,77295,2002
17043,The Crocodile Hunter: Collision Course,John Stainton,Steve Irwin, Terri Irwin, Neil Fanning,Family Adventure Comedy,"Steve Irwin, AKA The Crocodile Hunter, has avoided the death-roll and saved a croc from poachers. But what he doesn't know is that the crocodile has swallowed a top secret U.S. satellite beacon, and the poachers are actually American special agents sent to retrieve it.",5.4,8148,2002
19973,Comedian,Christian Charles,Jerry Seinfeld,Chris Rock,Garry Shandling,Comedy Documentary,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",6.9,7229,2002
4912,Confessions of a Dangerous Mind,George Clooney,Sam Rockwell, Drew Barrymore, George Clooney,Comedy Crime Drama,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.",7,91127,2002
11362,The Count of Monte Cristo,Kevin Reynolds,James Caviezel, Guy Pearce,Dagmara Domi?czyk,Adventure Drama History,"Edmond DantÃÂ©s's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, DantÃÂ©s escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",7.7,145874,2002
18357,The Country Bears,Peter Hastings,Don Henley, Haley Joel Osment, Diedrich Bader,Adventure Comedy Family,"For Beary Barrington, The Country Bears' young #1 fan, fitting in with his all-too-human family is proving im-paws-ible. When he runs away to find Country Bear Hall and his heroes, he discovers the venue that made them famous is near foreclosure. Beary hightails it over the river and through the woods to get the Bears in the Band back together for an all-out reunion concert to save Country Bear Hall.",4.2,6001,2002
55018,Crazy as Hell,Eriq La Salle,Eriq La Salle, Michael Beach, Ronny Cox,Horror Thriller,"A famous psychiatrist (Ty Adams) takes on the job of trying to cure patients at the Sedah State Hospital, run by it's folksy doctor (Sam Delazo). All this takes a strange turn when a mysterious patient (Satan, he calls himself) enters the Hospital seeking help. Or is it just help that he wants?",5.8,1095,2002
